Iteration	AverageReturn	StdReturn
0	3847.644646833075	131.8405326217631
1	3897.9397248454065	186.2293934024724
2	3876.525331453869	114.72717916035359
3	3880.183607570982	168.13007021542916
4	3846.706161146537	225.6456765418721
5	3883.4024943054346	175.01047668730672
6	3864.907165425347	157.98642533629493
7	3862.9150116378723	146.90261599315872
8	3876.0600425155144	104.55719364696631
9	3851.8604855489707	130.67970822491043
10	3886.989407777398	154.88703115916712
11	3701.4775039192114	773.2308344986527
12	3883.0497431481353	150.76548138385374
13	3828.4827671190424	165.71836790669377
14	3766.268468576525	632.5098093864084
15	3864.4820705861675	137.6019209185612
16	3829.472732874314	128.86331234038823
17	3910.9472833804566	128.8569631265435
18	3867.433555982734	151.50220717364436
19	3861.960359716895	153.58889161709808
