Iteration	AverageReturn	StdReturn
0	3934.318595835816	0.0
1	4039.0186354852544	0.0
2	4244.037320391531	0.0
3	4262.61807757881	0.0
4	4071.9801914199943	0.0
5	4118.357490549781	0.0
6	4177.14838565596	0.0
7	4125.680064781564	0.0
8	4158.075545414431	0.0
9	4265.5944235070765	0.0
10	4125.817396400286	0.0
11	4128.202908624524	0.0
12	4174.9354492604425	0.0
13	4027.382437032691	0.0
14	4020.498978721106	0.0
15	4196.366758301435	0.0
16	4105.641472453465	0.0
17	4269.390353683056	0.0
18	4202.470061495378	0.0
19	4083.0605096408613	0.0
