Iteration	AverageReturn	StdReturn
0	-9.568045915633645	2.18284542494706
1	-10.259361380892122	3.0349233890171075
2	-10.361776767370591	1.7261114892439926
3	-9.086096162042235	2.47094595180405
4	-9.42327689397473	2.6771819864500817
5	-9.69264532509238	2.5563992709971077
6	-8.430480754313665	1.6328158797443517
7	-9.570133712609564	3.216413585362989
8	-9.827346289500593	3.396324901045304
9	-9.236972298985872	2.605468488294538
10	-10.098216283844422	3.058133678060019
11	-9.85550252225068	2.6147170131408672
12	-8.88229546418388	2.5141436375081714
13	-10.706104643834946	3.122707574548367
14	-10.893961325556525	2.581328441114635
15	-9.926962471964782	2.9138831798316907
16	-9.513959787485636	2.0915745226311673
17	-10.74206665663854	2.596306561559246
18	-9.520990686459381	3.093477498429713
19	-8.523897443012224	2.8159194811301576
