Iteration	AverageReturn	StdReturn
0	-9.256523005857982	2.686278409092484
1	-5.832425184588848	1.540822099183558
2	-4.980081836116789	2.2368369594473863
3	-4.648161045681094	1.6497857843840897
4	-3.8119466639111983	1.4341700651494997
5	-4.391652796632771	1.3707742893111394
6	-4.0375680872697925	1.963170177716358
7	-4.405533419801792	1.6829366806493775
8	-3.885999611342182	1.64732386212214
9	-3.620103907641319	1.1024644630597835
10	-4.083586192054405	1.393107015739576
11	-4.360131031835756	1.3080407250891846
12	-3.8217340131977275	1.6364063774180413
13	-3.2360035633849122	0.988840263590225
14	-3.742252641747239	1.5551524727909634
15	-3.4401809485775905	1.4477958767951635
16	-3.439281771867892	1.4662975644728753
17	-3.7566028865193557	1.296773830240241
18	-4.722475174379241	1.584540121231649
19	-3.365146390059265	1.5459097035523113
