Iteration	AverageReturn	StdReturn
0	-3.570608295050426	1.2856457475920946
1	-3.832250548382504	1.3740349834604983
2	-3.802140377161386	1.155775107264179
3	-3.0168799568399014	1.7257650894316758
4	-3.8305844868999612	1.4369234118263758
5	-3.7419647483538654	1.4278873026856214
6	-3.8580750638671426	1.3167201736536196
7	-3.539898195622933	1.291081301492332
8	-3.9330957425768305	1.5644317870875668
9	-3.6236117576547726	1.5089249730518104
10	-3.1920995123161577	1.2492081347297659
11	-4.326991782788761	1.6376280853963954
12	-3.996889061031341	2.046900722713884
13	-4.224971516847431	1.5524966928178523
14	-3.9466232453597043	1.4521551950527731
15	-3.9695527991900788	1.2426633701915712
16	-3.907130582144083	1.6441972701037952
17	-3.923141846877363	1.206368771383659
18	-3.0132963847476164	1.0296546135821478
19	-3.5332531315371023	1.4046188770344588
